Date,Close,Percent Change,Volume
6/15/2021,3022.11,-0.22%,"16,528,749,738.50"
6/16/2021,2969.72,-1.86%,"15,484,479,318.50"
6/17/2021,2968.42,-0.11%,"10,904,958,935.00"
6/20/2021,2905.32,-2.20%,"11,819,428,288.50"
6/21/2021,2834.41,-2.45%,"11,619,035,673.50"
6/22/2021,2913.84,2.79%,"10,286,269,957.00"
6/23/2021,2859.96,-1.87%,"8,362,671,680.50"
6/24/2021,2843,-0.58%,"7,033,603,739.50"
6/27/2021,2870.18,0.96%,"7,167,432,728.00"
6/28/2021,2871.6969,0.15%,"7,725,594,965.50"
6/29/2021,2828,-1.65%,"6,726,361,869.27"
6/30/2021,2823.88,-1.00%,"5,838,551,435.49"
7/1/2021,2843,0.68%,"6,707,775,484.14"
7/4/2021,2834.52,-0.30%,"5,053,538,256.95"
7/5/2021,2822.74,-0.42%,"4,582,212,578.61"
7/6/2021,2818.11,-0.19%,"4,224,018,255.09"
7/7/2021,2801.13,-0.60%,"4,585,861,976.21"
7/8/2021,2825.11,0.86%,"4,815,520,294.15"
7/11/2021,2899.82,2.58%,"8,061,382,496.39"
7/12/2021,2854.84,-1.55%,"9,980,026,526.96"
7/13/2021,2871.03,0.57%,"5,546,356,224.10"
7/14/2021,2872.05,0.04%,"5,654,576,205.11"
7/15/2021,2883.38,0.24%,"8,143,614,302.19"
7/18/2021,2980.61,3.26%,"11,638,126,492.62"
7/19/2021,2994.42,0.33%,"11,813,754,606.60"
7/22/2021,3004.33,0.63%,"11,114,121,615.71"
7/25/2021,3058.64,1.81%,"14,232,417,472.15"
7/26/2021,3050.43,-0.36%,"14,139,785,431.16"
7/27/2021,3076.3728,0.89%,"349,011,988.50"
7/28/2021,3094.95,0.18%,"13,291,954,535.44"
7/29/2021,3079.82,-0.56%,"10,905,830,064.17"
8/1/2021,3081.07,0.03%,"12,103,871,861.91"
8/2/2021,3085.07,0.13%,"10,983,682,606.43"
8/3/2021,3111.09,0.00%,"11,529,217,774.66"
8/4/2021,3123.15,0.32%,"15,595,794,271.04"
8/5/2021,3107.45,-0.50%,"14,316,249,964.69"
8/8/2021,3108.13,-0.05%,"14,308,136,886.78"
8/9/2021,3109.6,-0.02%,"14,137,338,880.86"
8/10/2021,3161.56,1.63%,"17,846,147,278.60"
8/11/2021,3162.41,-0.06%,"15,455,941,753.79"
8/12/2021,3178.91,0.43%,"17,513,276,115.01"
8/15/2021,3154.34,-0.77%,"21,647,600,654.50"
8/16/2021,3160.09,-0.17%,"15,930,897,937.50"
8/17/2021,3160.32,-0.12%,"18,204,939,237.00"
